STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/2/2011,,,,,0,",,Z,",0,",,Z,",0,",,Z,",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/3/2011,,,,,0,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/4/2011,,,,,0,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/5/2011,,,,,0.15,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/6/2011,,,,,1.58,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/7/2011,,,,,0.5,",,Z,0700",4,",,Z,0700",4,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/8/2011,,,,,0,",,Z,0700",0,",,Z,0700",2,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/9/2011,,,,,0,",,Z,0700",0,",,Z,0700",1,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/10/2011,,,,,0.08,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/11/2011,,,,,0.16,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
USC00300707,"BLACK RIVER, NY US",44.0002,-75.813,158.5,3/12/2011,,,,,0,",,Z,0700",0,",,Z,0700",0,",,Z,0700",,,,,,,,,,,,,,,,,,,,,,
